fauf,materialnummer,menge,arbeitsstation,eventtyp,zustand,zeitstempel,tag_id
PO-01,BAT,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:32:31.476+01,84b31b00000b80ab
PO-01,BAT,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:33:01.21+01,84b31b00000b80ab
PO-03,Car-03,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:33:15.776+01,84b31b00000b805c
PO-01,Car-01,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:33:16.399+01,84b31b00000b8055
PO-08,Car-08,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:33:31.339+01,84b31b00000b8072
PO-01,Car-01,1,WS-02,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:33:31.342+01,84b31b00000b8055
PO-01,BOSP,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:33:45.713+01,84b31b00000b814c
PO-01,BAT,1,Goods-Out,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:33:46.358+01,84b31b00000b80ab
PO-01,BAT,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:33:46.358+01,84b31b00000b80ab
PO-01,Car-01,1,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:33:46.408+01,84b31b00000b8055
PO-02,Car-02,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:34:00.875+01,84b31b00000b805b
PO-01,Car-01,1,WS-02,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:34:01.009+01,84b31b00000b8055
PO-01,BOSP,1,Goods-Out,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:34:01.293+01,84b31b00000b814c
PO-41,Car-041,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:34:45.809+01,84b31b00000b80ac
PO-05,Car-05,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:34:46.616+01,84b31b00000b8062
PO-02,BOSP,1,B-Transfer,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:34:46.727+01,84b31b00000b80bc
PO-02,Car-02,1,B-01,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:34:46.898+01,84b31b00000b805b
PO-02,Car-02,1,B-03,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:35:00.732+01,84b31b00000b805b
PO-02,Car-02,1,B-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:35:00.732+01,84b31b00000b805b
PO-03,Car-03,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:35:01.117+01,84b31b00000b805c
PO-02,BOSP,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:35:01.118+01,84b31b00000b80bc
PO-02,Car-02,1,WS-01,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:35:16.314+01,84b31b00000b805b
PO-02,Car-02,1,B-03,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:35:16.314+01,84b31b00000b805b
PO-01,RT,2,WS-02,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:35:16.94+01,84b31b00000b818e
PO-02,BAT,1,WS-01,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:35:15.85+01,84b31b00000b816f
PO-02,Car-02,1,B-01,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:35:45.989+01,84b31b00000b805b
PO-02,Car-02,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:35:45.989+01,84b31b00000b805b
PO-02,BAT,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:35:46.087+01,84b31b00000b816f
PO-02,BAT,1,B-Transfer,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:35:46.087+01,84b31b00000b816f
PO-02,BAT,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:35:46.087+01,84b31b00000b816f
PO-02,BOSP,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:35:46.201+01,84b31b00000b80bc
PO-03,Car-03,1,Goods-In,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:36:01.17+01,84b31b00000b805c
PO-01,RT,2,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:36:01.572+01,84b31b00000b818e
PO-01,RT,2,B-Transfer,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:36:01.572+01,84b31b00000b818e
PO-01,RT,2,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:36:01.572+01,84b31b00000b818e
PO-02,Car-02,1,WS-01,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:36:01.669+01,84b31b00000b805b
PO-02,BOSP,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:36:15.708+01,84b31b00000b80bc
PO-05,Car-05,1,Goods-In,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:36:16.195+01,84b31b00000b8062
PO-02,Car-02,1,B-02,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:36:16.313+01,84b31b00000b805b
PO-02,Car-02,1,B-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:36:16.313+01,84b31b00000b805b
PO-02,Car-02,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:36:16.313+01,84b31b00000b805b
PO-02,BOSP,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:36:31.064+01,84b31b00000b80bc
PO-01,FT,2,WS-02,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:36:30.771+01,84b31b00000b8159
PO-03,Car-03,1,B-01,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:37:01.018+01,84b31b00000b805c
PO-03,Car-03,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:37:01.018+01,84b31b00000b805c
PO-01,FT,2,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:37:01.158+01,84b31b00000b8159
PO-01,FT,2,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:37:16.633+01,84b31b00000b8159
PO-03,Car-03,1,WS-01,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:37:31.714+01,84b31b00000b805c
PO-03,Car-03,1,B-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:37:31.714+01,84b31b00000b805c
PO-03,BOSP,1,WS-01,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:37:30.911+01,84b31b00000b81a8
PO-03,BOSP,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:37:45.707+01,84b31b00000b81a8
PO-03,BOSP,1,B-Transfer,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:37:45.707+01,84b31b00000b81a8
PO-03,BOSP,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:37:45.707+01,84b31b00000b81a8
PO-02,Car-02,1,WS-02,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:37:46.42+01,84b31b00000b805b
PO-02,Car-02,1,B-02,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:37:46.42+01,84b31b00000b805b
PO-01,Car-01,1,WS-03,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:37:46.704+01,84b31b00000b8055
PO-01,Car-01,1,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:37:46.704+01,84b31b00000b8055
PO-06,Car-06,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:38:01.785+01,84b31b00000b806c
PO-03,BAT,1,WS-01,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:38:15.895+01,84b31b00000b818d
PO-03,BAT,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:38:30.96+01,84b31b00000b818d
PO-03,Car-03,1,B-02,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:38:46.084+01,84b31b00000b805c
PO-03,Car-03,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:38:46.084+01,84b31b00000b805c
PO-02,RT,2,WS-02,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:38:46.564+01,84b31b00000b80b9
PO-03,BAT,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:38:46.713+01,84b31b00000b818d
PO-02,RT,2,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:39:00.834+01,84b31b00000b80b9
PO-02,RT,2,B-Transfer,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:39:00.834+01,84b31b00000b80b9
PO-02,RT,2,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:39:00.834+01,84b31b00000b80b9
PO-41,Car-041,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:39:01.418+01,84b31b00000b80ac
PO-41,Car-041,1,WS-01,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:39:01.418+01,84b31b00000b80ac
PO-41,Car-041,1,WS-01,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:39:01.418+01,84b31b00000b80ac
PO-01,FT,2,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:39:16.468+01,84b31b00000b8159
PO-41,BOSP,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:38:46.086+01,84b31b00000b813e
PO-01,FAXS,1,B-03,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:39:16.691+01,84b31b00000b80aa
PO-41,BOSP,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:39:31.763+01,84b31b00000b813e
PO-41,BOSP,1,WS-01,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:39:31.763+01,84b31b00000b813e
PO-41,BOSP,1,WS-01,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:39:31.763+01,84b31b00000b813e
PO-01,FAXS,1,B-03,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:39:46.594+01,84b31b00000b80aa
PO-01,FAXS,1,WS-03,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:39:46.594+01,84b31b00000b80aa
PO-01,FAXS,1,WS-03,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:39:46.594+01,84b31b00000b80aa
PO-01,FT,2,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:39:46.579+01,84b31b00000b8159
PO-41,BOSP,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:39:46.768+01,84b31b00000b813e
PO-41,BOSP,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:39:46.768+01,84b31b00000b813e
PO-02,FT,2,WS-02,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:39:45.83+01,84b31b00000b8126
PO-03,BOSP,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:40:00.706+01,84b31b00000b81a8
PO-05,Car-05,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:40:00.715+01,84b31b00000b8062
PO-41,BOSP,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:40:01.091+01,84b31b00000b813e
PO-07,Car-07,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:40:01.403+01,84b31b00000b806d
PO-01,FAXS,1,WS-05,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:40:01.437+01,84b31b00000b80aa
PO-01,FAXS,1,WS-03,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:40:01.437+01,84b31b00000b80aa
PO-01,BOSP,1,Goods-Out,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:40:01.489+01,84b31b00000b814c
PO-02,Car-02,1,B-03,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:40:30.842+01,84b31b00000b805b
PO-02,Car-02,1,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:40:30.842+01,84b31b00000b805b
PO-41,BAT,1,B-Transfer,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:40:30.923+01,84b31b00000b8097
PO-01,Car-01,1,WS-04,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:40:31.405+01,84b31b00000b8055
PO-01,Car-01,1,WS-03,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:40:31.405+01,84b31b00000b8055
PO-01,BOSP,1,Goods-Out,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:40:31.495+01,84b31b00000b814c
PO-03,BOSP,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:40:31.531+01,84b31b00000b81a8
PO-08,Car-08,1,Goods-In,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:40:45.752+01,84b31b00000b8072
PO-03,Car-03,1,WS-02,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:40:45.837+01,84b31b00000b805c
PO-03,Car-03,1,B-02,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:40:45.837+01,84b31b00000b805c
PO-41,Car-041,1,B-02,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:40:45.898+01,84b31b00000b80ac
PO-41,Car-041,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:40:45.898+01,84b31b00000b80ac
PO-41,BOSP,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:40:46.219+01,84b31b00000b813e
PO-02,FT,2,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:40:46.266+01,84b31b00000b8126
PO-02,FT,2,B-Transfer,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:40:46.266+01,84b31b00000b8126
PO-02,FT,2,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:40:46.266+01,84b31b00000b8126
PO-02,Car-02,1,WS-03,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:40:46.707+01,84b31b00000b805b
PO-02,Car-02,1,B-03,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:40:46.707+01,84b31b00000b805b
PO-05,Car-05,1,WS-01,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:40:46.714+01,84b31b00000b8062
PO-02,RT,2,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:41:01.223+01,84b31b00000b80b9
PO-41,Car-041,1,WS-02,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:41:15.945+01,84b31b00000b80ac
PO-41,Car-041,1,B-02,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:41:15.945+01,84b31b00000b80ac
PO-41,BOSP,1,Goods-Out,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:41:16.357+01,84b31b00000b813e
PO-41,BOSP,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:41:16.357+01,84b31b00000b813e
PO-03,BOSP,1,Goods-Out,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:41:16.365+01,84b31b00000b81a8
PO-03,BOSP,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:41:16.365+01,84b31b00000b81a8
PO-02,BOSP,1,Goods-Out,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:41:16.44+01,84b31b00000b80bc
PO-02,BOSP,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:41:16.44+01,84b31b00000b80bc
PO-10,Car-10,1,Goods-In,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:41:16.734+01,84b31b00000b807d
PO-02,RT,2,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:41:16.738+01,84b31b00000b80b9
PO-05,BOSP,1,B-01,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:41:15.955+01,84b31b00000b8084
PO-05,BOSP,1,B-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:41:31.038+01,84b31b00000b8084
PO-05,BOSP,1,WS-01,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:41:31.038+01,84b31b00000b8084
PO-05,BOSP,1,WS-01,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:41:31.038+01,84b31b00000b8084
PO-03,RT,2,WS-02,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:41:31.606+01,84b31b00000b80c9
PO-02,BAT,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:41:31.616+01,84b31b00000b816f
PO-01,FT,2,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:41:31.635+01,84b31b00000b8159
PO-03,RT,2,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:41:45.71+01,84b31b00000b80c9
PO-02,FT,2,Goods-Out,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:41:45.717+01,84b31b00000b8126
PO-02,FT,2,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:41:45.717+01,84b31b00000b8126
PO-01,RT,2,Goods-Out,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:41:45.887+01,84b31b00000b818e
PO-01,RT,2,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:41:45.887+01,84b31b00000b818e
PO-02,RT,2,Goods-Out,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:41:46.081+01,84b31b00000b80b9
PO-02,RT,2,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:41:46.081+01,84b31b00000b80b9
PO-05,BOSP,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:41:46.111+01,84b31b00000b8084
PO-05,BOSP,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:41:46.111+01,84b31b00000b8084
PO-03,Car-03,1,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:41:46.232+01,84b31b00000b805c
PO-41,Car-041,1,B-02,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:41:46.262+01,84b31b00000b80ac
PO-41,Car-041,1,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:41:46.262+01,84b31b00000b80ac
PO-10,Car-10,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:42:00.776+01,84b31b00000b807d
PO-03,Car-03,1,WS-02,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:42:00.773+01,84b31b00000b805c
PO-01,FT,2,Goods-Out,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:42:01.249+01,84b31b00000b8159
PO-02,BAT,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:42:01.456+01,84b31b00000b816f
PO-03,RT,2,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:42:01.58+01,84b31b00000b80c9
PO-05,BAT,1,WS-01,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:42:15.954+01,84b31b00000b8130
PO-03,BAT,1,Goods-Out,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:42:16.488+01,84b31b00000b818d
PO-03,BAT,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:42:16.488+01,84b31b00000b818d
PO-02,BAT,1,Goods-Out,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:42:16.641+01,84b31b00000b816f
PO-02,BAT,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:42:16.641+01,84b31b00000b816f
PO-41,BAT,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:42:16.679+01,84b31b00000b8097
PO-41,BAT,1,Goods-Out,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:42:16.679+01,84b31b00000b8097
PO-41,BAT,1,Goods-Out,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:42:16.679+01,84b31b00000b8097
PO-01,SSA,2,WS-05,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:42:16.279+01,84b31b00000b8179
PO-01,SSA,2,WS-05,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:42:30.724+01,84b31b00000b8179
PO-05,BAT,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:42:31.308+01,84b31b00000b8130
PO-05,BAT,1,B-Transfer,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:42:31.308+01,84b31b00000b8130
PO-05,BAT,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:42:31.308+01,84b31b00000b8130
PO-01,CHS,1,B-04,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:42:32.053+01,84b31b00000b809b
PO-02,FAXS,1,WS-03,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:42:30.985+01,84b31b00000b80b7
PO-05,Car-05,1,B-02,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:42:45.784+01,84b31b00000b8062
PO-05,Car-05,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:42:45.784+01,84b31b00000b8062
PO-01,CHS,1,B-04,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:42:45.865+01,84b31b00000b809b
PO-01,SSA,2,WS-05,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:42:46.237+01,84b31b00000b8179
PO-01,SSA,2,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:43:00.738+01,84b31b00000b8179
PO-01,SSA,2,WS-05,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:43:00.738+01,84b31b00000b8179
PO-01,FAXS,1,WS-05,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:43:00.988+01,84b31b00000b80aa
PO-03,FT,2,WS-02,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:43:00.992+01,84b31b00000b8095
PO-06,Car-06,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:43:01.052+01,84b31b00000b806c
PO-06,Car-06,1,WS-01,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:43:01.052+01,84b31b00000b806c
PO-06,Car-06,1,WS-01,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:43:01.052+01,84b31b00000b806c
PO-02,FAXS,1,WS-03,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:43:01.425+01,84b31b00000b80b7
PO-02,FAXS,1,B-05,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:43:01.425+01,84b31b00000b80b7
PO-02,FAXS,1,B-05,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:43:01.425+01,84b31b00000b80b7
PO-03,BAT,1,Goods-Out,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:43:01.685+01,84b31b00000b818d
PO-03,RT,2,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:43:16.081+01,84b31b00000b80c9
PO-09,Car-09,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:43:16.304+01,84b31b00000b807c
PO-01,CHS,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:43:16.315+01,84b31b00000b809b
PO-01,FAXS,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:43:16.3+01,84b31b00000b80aa
PO-06,BOSP,1,B-01,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:43:15.973+01,84b31b00000b80cd
PO-06,BOSP,1,B-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:43:30.847+01,84b31b00000b80cd
PO-06,BOSP,1,WS-01,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:43:30.847+01,84b31b00000b80cd
PO-01,Car-01,1,B-05,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:43:30.837+01,84b31b00000b8055
PO-01,Car-01,1,WS-04,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:43:30.837+01,84b31b00000b8055
PO-06,BOSP,1,WS-01,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:43:30.847+01,84b31b00000b80cd
PO-02,FAXS,1,WS-05,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:43:31.174+01,84b31b00000b80b7
PO-02,FAXS,1,B-05,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:43:31.174+01,84b31b00000b80b7
PO-03,FT,2,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:43:31.259+01,84b31b00000b8095
PO-03,FT,2,B-Transfer,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:43:31.259+01,84b31b00000b8095
PO-03,FT,2,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:43:31.259+01,84b31b00000b8095
PO-03,RT,2,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:43:31.288+01,84b31b00000b80c9
PO-02,Car-02,1,WS-04,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:43:31.418+01,84b31b00000b805b
PO-02,Car-02,1,WS-03,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:43:31.418+01,84b31b00000b805b
PO-05,BAT,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:43:31.475+01,84b31b00000b8130
PO-05,BAT,1,Goods-Out,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:43:46.221+01,84b31b00000b8130
PO-03,RT,2,Goods-Out,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:43:46.401+01,84b31b00000b80c9
PO-03,RT,2,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:43:46.401+01,84b31b00000b80c9
